operation_id,created_at,amount,bank,provider,decision,reason,result,latency_sec
hist_042,2026-07-29T00:05:01+03:00,5400,raiffeisen,fastline,selected,strategy_share_by_count,rejected,62
hist_035,2026-07-29T00:42:37+03:00,30400,sber,fastline,selected,strategy_share_by_count,approved,27
hist_055,2026-07-29T00:55:43+03:00,3600,raiffeisen,vipay,selected,strategy_share_by_count,rejected,66
hist_070,2026-07-29T01:31:26+03:00,55200,yandex,vipay,selected,strategy_share_by_count,approved,71
hist_086,2026-07-29T01:35:13+03:00,8100,alfa,quickpay,selected,strategy_share_by_count,rejected,71
hist_030,2026-07-29T02:24:40+03:00,24100,sber,quickpay,selected,strategy_share_by_count,approved,42
hist_089,2026-07-29T02:25:02+03:00,9500,sber,quickpay,selected,strategy_share_by_count,approved,23
hist_072,2026-07-29T02:35:48+03:00,53500,alfa,vipay,selected,strategy_share_by_count,expired,89
hist_006,2026-07-29T02:57:07+03:00,36700,sber,payflow,selected,strategy_share_by_count,approved,62
hist_099,2026-07-29T03:20:15+03:00,15300,alfa,vipay,selected,strategy_share_by_count,approved,25
hist_034,2026-07-29T03:23:03+03:00,46600,vtb,quickpay,selected,strategy_share_by_count,rejected,77
hist_011,2026-07-29T03:23:05+03:00,8100,sber,vipay,selected,strategy_share_by_count,approved,62
hist_027,2026-07-29T03:31:28+03:00,32700,ozon,payflow,selected,strategy_share_by_count,approved,40
hist_078,2026-07-29T03:38:36+03:00,7400,ozon,vipay,selected,strategy_share_by_count,approved,41
hist_048,2026-07-29T03:43:23+03:00,6100,tinkoff,vipay,selected,strategy_share_by_count,rejected,68
hist_068,2026-07-29T03:59:57+03:00,15700,vtb,quickpay,selected,strategy_share_by_count,rejected,88
hist_050,2026-07-29T04:15:38+03:00,4200,vtb,fastline,selected,strategy_share_by_count,approved,10
hist_077,2026-07-29T04:18:05+03:00,16800,alfa,payflow,selected,strategy_share_by_count,approved,47
hist_032,2026-07-29T04:32:51+03:00,16000,vtb,payflow,selected,strategy_share_by_count,approved,4
hist_054,2026-07-29T04:41:36+03:00,19500,ozon,quickpay,selected,strategy_share_by_count,approved,36
hist_004,2026-07-29T05:07:11+03:00,9200,vtb,payflow,selected,strategy_share_by_count,approved,62
hist_041,2026-07-29T05:09:49+03:00,14800,raiffeisen,payflow,selected,strategy_share_by_count,expired,48
hist_074,2026-07-29T05:17:45+03:00,5800,tinkoff,vipay,selected,strategy_share_by_count,approved,7
hist_039,2026-07-29T05:28:58+03:00,37400,alfa,vipay,selected,strategy_share_by_count,rejected,23
hist_076,2026-07-29T05:31:10+03:00,52500,alfa,fastline,selected,strategy_share_by_count,approved,63
hist_098,2026-07-29T05:32:43+03:00,26100,vtb,quickpay,selected,strategy_share_by_count,rejected,90
hist_064,2026-07-29T05:39:18+03:00,17600,vtb,payflow,selected,strategy_share_by_count,approved,60
hist_022,2026-07-29T06:05:59+03:00,37900,alfa,payflow,selected,strategy_share_by_count,approved,11
hist_019,2026-07-29T06:11:39+03:00,4300,tinkoff,quickpay,selected,strategy_share_by_count,approved,44
hist_014,2026-07-29T06:17:42+03:00,4200,sber,quickpay,selected,strategy_share_by_count,approved,74
hist_080,2026-07-29T06:18:20+03:00,14500,raiffeisen,payflow,selected,strategy_share_by_count,expired,49
hist_096,2026-07-29T06:29:46+03:00,10000,alfa,vipay,selected,strategy_share_by_count,approved,65
hist_007,2026-07-29T06:31:23+03:00,5700,ozon,payflow,selected,strategy_share_by_count,approved,46
hist_021,2026-07-29T06:36:16+03:00,5700,sber,fastline,selected,strategy_share_by_count,approved,29
hist_088,2026-07-29T06:37:13+03:00,18300,ozon,quickpay,selected,strategy_share_by_count,approved,88
hist_083,2026-07-29T06:39:19+03:00,11100,vtb,vipay,selected,strategy_share_by_count,rejected,10
hist_069,2026-07-29T06:47:46+03:00,3000,vtb,vipay,selected,strategy_share_by_count,rejected,11
hist_025,2026-07-29T07:25:36+03:00,6600,tinkoff,payflow,selected,strategy_share_by_count,approved,4
hist_063,2026-07-29T07:35:50+03:00,5700,sber,vipay,selected,strategy_share_by_count,approved,10
hist_079,2026-07-29T07:46:56+03:00,23100,sber,quickpay,selected,strategy_share_by_count,approved,58
hist_081,2026-07-29T08:25:54+03:00,20600,vtb,fastline,selected,strategy_share_by_count,approved,59
hist_093,2026-07-29T08:54:09+03:00,13000,vtb,vipay,selected,strategy_share_by_count,approved,67
hist_053,2026-07-29T08:56:57+03:00,13900,raiffeisen,payflow,selected,strategy_share_by_count,approved,64
hist_013,2026-07-29T09:12:39+03:00,4500,alfa,payflow,selected,strategy_share_by_count,approved,37
hist_084,2026-07-29T09:15:07+03:00,17000,vtb,vipay,selected,strategy_share_by_count,approved,43
hist_092,2026-07-29T10:03:07+03:00,12900,ozon,fastline,selected,strategy_share_by_count,approved,74
hist_044,2026-07-29T10:10:31+03:00,44600,tinkoff,payflow,selected,strategy_share_by_count,approved,34
hist_087,2026-07-29T10:31:32+03:00,15200,ozon,payflow,selected,strategy_share_by_count,rejected,35
hist_062,2026-07-29T10:38:24+03:00,20800,yandex,payflow,selected,strategy_share_by_count,approved,76
hist_031,2026-07-29T10:56:24+03:00,25400,tinkoff,payflow,selected,strategy_share_by_count,approved,25
hist_010,2026-07-29T11:13:17+03:00,44700,ozon,payflow,selected,strategy_share_by_count,approved,64
hist_040,2026-07-29T11:19:24+03:00,15900,yandex,payflow,selected,strategy_share_by_count,approved,21
hist_012,2026-07-29T11:19:34+03:00,7200,sber,payflow,selected,strategy_share_by_count,approved,90
hist_038,2026-07-29T11:20:18+03:00,20600,gazprombank,quickpay,selected,strategy_share_by_count,approved,24
hist_002,2026-07-29T11:24:50+03:00,10200,gazprombank,vipay,selected,strategy_share_by_count,approved,55
hist_100,2026-07-29T11:27:20+03:00,3900,alfa,vipay,selected,strategy_share_by_count,approved,69
